timestamp,location,pm25,pm10,no2,so2
2025-10-14 12:00:00,Loc_1,12.18,14.72,26.48,5.15
2025-10-14 13:00:00,Loc_1,19.55,23.65,24.28,0.0
2025-10-14 14:00:00,Loc_1,25.61,29.34,17.69,4.08
2025-10-14 15:00:00,Loc_1,12.01,14.78,17.49,5.74
2025-10-14 16:00:00,Loc_1,14.54,18.01,17.83,5.19
2025-10-14 17:00:00,Loc_1,6.64,7.73,16.68,4.2
2025-10-14 18:00:00,Loc_1,0.59,0.72,23.16,2.59
2025-10-14 19:00:00,Loc_1,12.51,15.43,25.48,7.19
2025-10-14 20:00:00,Loc_1,0.14,0.17,18.07,7.88
2025-10-14 21:00:00,Loc_1,12.56,13.68,19.77,3.57
2025-10-14 22:00:00,Loc_1,12.69,14.33,22.77,8.1
2025-10-14 23:00:00,Loc_1,11.2,13.28,18.98,3.71
2025-10-15 00:00:00,Loc_1,25.09,29.04,35.94,6.5
2025-10-15 01:00:00,Loc_1,30.54,34.81,20.73,4.39
2025-10-15 02:00:00,Loc_1,27.06,33.91,13.2,8.41
2025-10-15 03:00:00,Loc_1,14.93,18.75,32.71,5.9
2025-10-15 04:00:00,Loc_1,24.27,28.45,24.32,4.47
2025-10-15 05:00:00,Loc_1,29.37,35.58,15.55,6.2
2025-10-15 06:00:00,Loc_1,40.71,46.27,17.2,11.45
2025-10-15 07:00:00,Loc_1,32.72,40.76,29.86,6.06
2025-10-15 08:00:00,Loc_1,27.91,31.17,16.33,4.88
2025-10-15 09:00:00,Loc_1,24.01,29.85,25.15,3.63
2025-10-15 10:00:00,Loc_1,25.86,30.78,19.19,6.43
2025-10-15 11:00:00,Loc_1,27.22,33.78,36.98,6.59
2025-10-15 12:00:00,Loc_1,22.6,26.28,26.68,1.93
2025-10-15 13:00:00,Loc_1,22.72,27.54,22.07,2.72
2025-10-15 14:00:00,Loc_1,15.94,19.49,18.92,3.27
2025-10-15 15:00:00,Loc_1,5.07,5.87,19.88,6.3
2025-10-15 16:00:00,Loc_1,7.78,10.28,22.5,3.33
2025-10-15 17:00:00,Loc_1,8.3,10.12,25.35,1.1
2025-10-15 18:00:00,Loc_1,5.95,7.29,14.21,4.63
2025-10-15 19:00:00,Loc_1,13.96,15.71,23.18,3.72
2025-10-15 20:00:00,Loc_1,8.07,8.96,15.03,4.9
2025-10-15 21:00:00,Loc_1,19.93,25.17,18.93,5.25
2025-10-15 22:00:00,Loc_1,14.86,17.2,17.27,3.22
2025-10-15 23:00:00,Loc_1,9.78,10.63,23.42,2.79
2025-10-16 00:00:00,Loc_1,15.15,18.72,19.3,4.9
2025-10-16 01:00:00,Loc_1,20.38,23.44,15.62,2.06
2025-10-16 02:00:00,Loc_1,23.18,27.55,26.96,4.57
2025-10-16 03:00:00,Loc_1,22.12,27.33,28.57,1.47
2025-10-16 04:00:00,Loc_1,21.71,26.08,20.62,5.24
2025-10-16 05:00:00,Loc_1,33.93,40.49,28.36,7.62
2025-10-16 06:00:00,Loc_1,29.97,35.51,28.3,6.68
2025-10-16 07:00:00,Loc_1,26.94,33.73,20.17,2.24
2025-10-16 08:00:00,Loc_1,24.56,24.73,26.26,2.04
2025-10-16 09:00:00,Loc_1,21.36,26.58,15.67,5.97
2025-10-16 10:00:00,Loc_1,17.47,20.05,33.61,6.4
2025-10-16 11:00:00,Loc_1,25.5,30.97,24.99,3.49
2025-10-16 12:00:00,Loc_1,17.27,19.67,23.2,5.31
2025-10-16 13:00:00,Loc_1,21.0,26.31,15.86,5.88
2025-10-16 14:00:00,Loc_1,19.34,23.45,15.72,1.0
2025-10-16 15:00:00,Loc_1,0.35,0.4,16.77,4.45
2025-10-16 16:00:00,Loc_1,6.93,8.21,8.97,4.62
2025-10-16 17:00:00,Loc_1,14.34,17.47,31.12,2.33
2025-10-16 18:00:00,Loc_1,6.16,7.53,19.42,5.98
2025-10-16 19:00:00,Loc_1,14.41,16.77,17.67,6.13
2025-10-16 20:00:00,Loc_1,17.09,19.97,24.37,7.42
2025-10-16 21:00:00,Loc_1,16.02,18.47,21.16,3.89
2025-10-16 22:00:00,Loc_1,18.36,22.17,17.03,6.9
2025-10-16 23:00:00,Loc_1,15.06,19.4,20.07,6.39
2025-10-17 00:00:00,Loc_1,19.4,22.87,17.7,2.2
2025-10-17 01:00:00,Loc_1,20.83,25.7,21.55,2.24
2025-10-17 02:00:00,Loc_1,35.85,43.07,22.6,6.87
2025-10-17 03:00:00,Loc_1,28.0,33.37,22.26,4.64
2025-10-17 04:00:00,Loc_1,30.1,37.53,19.28,4.11
2025-10-17 05:00:00,Loc_1,24.25,29.51,26.13,2.03
2025-10-17 06:00:00,Loc_1,24.0,30.41,16.41,3.0
2025-10-17 07:00:00,Loc_1,23.83,28.41,15.97,5.01
2025-10-17 08:00:00,Loc_1,25.62,27.4,23.91,4.62
2025-10-17 09:00:00,Loc_1,24.04,28.65,25.55,7.06
2025-10-17 10:00:00,Loc_1,34.62,42.11,22.18,3.52
2025-10-17 11:00:00,Loc_1,16.35,19.61,13.82,4.17
2025-10-17 12:00:00,Loc_1,19.13,22.05,21.42,5.68
2025-10-17 13:00:00,Loc_1,25.91,32.28,16.65,4.99
2025-10-17 14:00:00,Loc_1,12.06,14.81,22.8,6.0
2025-10-17 15:00:00,Loc_1,20.53,25.47,28.01,2.74
2025-10-17 16:00:00,Loc_1,13.97,16.83,29.23,8.17
2025-10-17 17:00:00,Loc_1,10.3,12.9,21.16,6.9
2025-10-17 18:00:00,Loc_1,10.34,12.29,20.66,1.04
2025-10-17 19:00:00,Loc_1,2.81,3.22,20.99,5.07
2025-10-17 20:00:00,Loc_1,7.78,8.76,12.91,5.58
2025-10-17 21:00:00,Loc_1,20.86,26.54,21.63,5.58
2025-10-17 22:00:00,Loc_1,17.61,20.96,28.45,6.11
2025-10-17 23:00:00,Loc_1,22.74,25.78,21.74,3.71
2025-10-18 00:00:00,Loc_1,25.94,30.81,15.82,3.2
2025-10-18 01:00:00,Loc_1,21.26,24.47,13.8,7.87
2025-10-18 02:00:00,Loc_1,25.74,31.89,20.77,6.46
2025-10-18 03:00:00,Loc_1,25.27,30.2,15.16,5.89
2025-10-18 04:00:00,Loc_1,28.01,31.28,20.38,7.23
2025-10-18 05:00:00,Loc_1,35.03,41.67,23.95,5.03
2025-10-18 06:00:00,Loc_1,32.95,36.94,22.65,2.57
2025-10-18 07:00:00,Loc_1,23.74,30.11,26.12,6.07
2025-10-18 08:00:00,Loc_1,31.2,37.47,18.18,6.09
2025-10-18 09:00:00,Loc_1,28.6,35.51,21.86,3.06
2025-10-18 10:00:00,Loc_1,33.18,38.48,21.21,8.07
2025-10-18 11:00:00,Loc_1,13.53,16.36,21.08,6.36
2025-10-18 12:00:00,Loc_1,21.35,24.71,21.66,3.54
2025-10-18 13:00:00,Loc_1,13.2,16.68,22.18,5.13
2025-10-18 14:00:00,Loc_1,17.11,19.62,21.38,7.98
2025-10-18 15:00:00,Loc_1,12.28,15.85,16.08,5.29
2025-10-18 16:00:00,Loc_1,5.34,6.38,21.37,1.68
2025-10-18 17:00:00,Loc_1,16.04,19.55,19.4,3.98
2025-10-18 18:00:00,Loc_1,11.82,14.08,14.5,6.91
2025-10-18 19:00:00,Loc_1,9.48,11.78,18.13,5.08
2025-10-18 20:00:00,Loc_1,6.49,8.32,27.68,8.26
2025-10-18 21:00:00,Loc_1,11.29,13.07,18.16,5.18
2025-10-18 22:00:00,Loc_1,11.83,14.41,24.48,5.87
2025-10-18 23:00:00,Loc_1,29.99,36.85,16.79,5.25
2025-10-19 00:00:00,Loc_1,18.57,20.39,18.47,2.83
2025-10-19 01:00:00,Loc_1,19.99,25.04,18.34,4.88
2025-10-19 02:00:00,Loc_1,26.06,32.02,23.67,2.95
2025-10-19 03:00:00,Loc_1,28.09,31.98,31.07,4.26
2025-10-19 04:00:00,Loc_1,22.14,26.71,21.96,5.03
2025-10-19 05:00:00,Loc_1,29.69,36.34,22.71,2.64
2025-10-19 06:00:00,Loc_1,29.98,34.74,14.6,3.83
2025-10-19 07:00:00,Loc_1,38.2,45.19,20.79,3.14
2025-10-19 08:00:00,Loc_1,35.6,44.08,25.32,6.22
2025-10-19 09:00:00,Loc_1,30.6,35.82,28.69,2.69
2025-10-19 10:00:00,Loc_1,23.85,28.71,20.99,2.93
2025-10-19 11:00:00,Loc_1,30.39,36.1,23.97,2.68
2025-10-19 12:00:00,Loc_1,16.62,20.05,33.85,1.98
2025-10-19 13:00:00,Loc_1,24.66,27.16,21.35,3.76
2025-10-19 14:00:00,Loc_1,4.43,5.41,23.22,4.66
2025-10-19 15:00:00,Loc_1,10.73,11.83,8.75,4.16
2025-10-19 16:00:00,Loc_1,18.9,23.04,17.79,1.93
2025-10-19 17:00:00,Loc_1,13.99,16.88,23.83,6.48
2025-10-19 18:00:00,Loc_1,13.36,15.49,21.12,4.98
2025-10-19 19:00:00,Loc_1,10.01,11.69,16.39,4.1
2025-10-19 20:00:00,Loc_1,12.49,13.97,16.36,4.34
2025-10-19 21:00:00,Loc_1,11.05,12.51,13.39,2.99
2025-10-19 22:00:00,Loc_1,13.96,17.21,21.05,4.54
2025-10-19 23:00:00,Loc_1,20.32,24.1,22.97,4.95
2025-10-20 00:00:00,Loc_1,21.42,23.98,13.71,4.37
2025-10-20 01:00:00,Loc_1,24.12,29.52,22.69,1.72
